Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_MENDOZA,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TUCUMAN
2022-02-12,9,0 days 00:04:45.666666666,0 days 01:54:05.555555555,0 days 02:01:16.222222222,1.0,0.0,0.0,6,0,2,6,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-02-13,10,0 days 00:06:16.300000,0 days 01:13:10.600000,0 days 01:22:02.100000,1.0,0.0,0.0,4,0,0,9,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0
2022-02-14,22,0 days 00:09:17.409090909,0 days 02:44:16.136363636,0 days 02:55:27.090909090,1.0,1.0,0.0,6,0,5,12,10,2,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0
2022-02-15,18,0 days 00:08:51.944444444,0 days 01:57:03,0 days 02:08:09.888888888,3.0,2.0,0.0,8,0,0,13,5,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-02-16,22,0 days 00:19:20.500000,0 days 04:47:01.681818181,0 days 05:10:32.818181818,6.0,17.0,0.0,9,0,3,12,10,2,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-02-17,11,0 days 02:07:56.181818181,0 days 02:18:17.818181818,0 days 04:27:55.181818181,9.0,0.0,0.0,1,0,2,7,4,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-02-18,8,0 days 00:14:57.875000,0 days 09:21:30.625000,0 days 09:38:43.625000,3.0,1.0,0.0,1,0,4,4,4,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-02-19,16,0 days 01:01:47.375000,0 days 02:33:33.562500,0 days 03:37:25.625000,1.0,1.0,0.0,8,0,1,10,6,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0
2022-02-20,10,0 days 00:05:15.600000,0 days 01:59:52.300000,0 days 02:07:00.800000,2.0,1.0,0.0,4,0,1,7,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-02-21,14,0 days 00:09:33.285714285,0 days 02:56:14.071428571,0 days 03:07:42.928571428,1.0,0.0,0.0,2,0,7,7,7,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0
2022-02-22,9,0 days 00:07:42.444444444,0 days 02:19:59.111111111,0 days 02:30:16.888888888,1.0,2.0,0.0,2,0,1,6,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0
2022-02-23,17,0 days 00:19:58.823529411,0 days 02:23:07,0 days 02:46:29.529411764,0.0,4.0,0.0,6,0,3,9,8,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0
2022-02-24,10,0 days 00:06:50.400000,0 days 02:44:19,0 days 02:53:53.100000,5.0,1.0,0.0,4,0,2,6,4,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-02-25,15,0 days 00:10:58.066666666,0 days 04:57:30.333333333,0 days 05:13:04.600000,1.0,9.0,0.0,7,0,2,9,6,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0
2022-02-26,10,0 days 00:14:14.400000,0 days 02:44:43,0 days 03:00:26.200000,3.0,0.0,0.0,3,0,3,5,5,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0
2022-02-27,7,0 days 00:03:49.428571428,0 days 02:05:39,0 days 02:11:25.428571428,1.0,0.0,0.0,0,0,4,3,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,15,0 days 00:06:42.866666666,0 days 02:22:45.466666666,0 days 02:31:35.866666666,3.0,0.0,0.0,7,0,5,9,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,18,0 days 00:03:30,0 days 02:25:15.555555555,0 days 02:31:12.833333333,2.0,0.0,0.0,7,0,2,11,7,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,14,0 days 00:24:27.214285714,0 days 02:34:43.571428571,0 days 03:01:36.571428571,11.0,6.0,0.0,5,0,6,6,8,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,15,0 days 00:13:03.866666666,0 days 02:49:56.600000,0 days 03:05:32.533333333,8.0,5.0,0.0,2,0,6,9,6,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-03-04,22,0 days 00:19:57.272727272,0 days 03:29:32.454545454,0 days 03:54:02,3.0,8.0,0.0,3,0,4,11,11,0,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0
2022-03-05,21,0 days 00:27:57.952380952,0 days 02:17:20.714285714,0 days 02:46:50.380952380,4.0,2.0,0.0,6,0,8,10,11,0,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0
2022-03-06,13,0 days 00:23:44.307692307,0 days 03:07:41.461538461,0 days 03:38:07.615384615,1.0,1.0,0.0,5,0,2,5,8,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-03-07,23,0 days 00:11:29.695652173,0 days 02:23:02.478260869,0 days 03:06:14.521739130,1.0,8.0,0.0,6,0,6,12,11,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
2022-03-08,25,0 days 00:20:55.800000,0 days 02:28:31.160000,0 days 03:20:22.720000,3.0,10.0,0.0,3,0,4,15,10,1,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0
2022-03-09,20,0 days 00:07:28.950000,0 days 03:29:23.500000,0 days 04:13:54.100000,3.0,3.0,0.0,4,0,6,9,11,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0
2022-03-10,22,0 days 00:09:25.090909090,0 days 03:10:18.727272727,0 days 03:38:56.181818181,6.0,2.0,0.0,3,0,10,10,12,0,2,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0
2022-03-11,28,0 days 00:13:29.785714285,0 days 03:43:18.892857142,0 days 04:12:14.535714285,7.0,13.0,0.0,4,0,13,13,15,1,2,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0
2022-03-12,19,0 days 00:05:57.157894736,0 days 02:32:38.842105263,0 days 02:43:07.736842105,1.0,2.0,0.0,6,0,7,9,10,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-03-13,13,0 days 00:17:20.615384615,0 days 04:52:47.076923076,0 days 05:12:28.769230769,1.0,2.0,0.0,1,0,2,8,5,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0
2022-03-14,50,0 days 00:17:35.560000,0 days 03:35:26.860000,0 days 03:49:48.120000,9.0,12.0,0.0,2,0,29,31,19,0,8,7,2,11,0,0,0,0,0,1,0,0,0,0,0,0,21,0,28,0,0,0,0,1,0,0,0,0,0,0
2022-03-15,50,0 days 01:18:33.400000,0 days 03:15:49.080000,0 days 03:51:58.140000,5.0,8.0,0.0,4,0,23,25,25,2,1,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,31,0,16,0,0,0,0,0,0,0,0,0,0,0
2022-03-16,48,0 days 00:21:29.479166666,0 days 04:20:03.812500,0 days 04:34:45.416666666,5.0,10.0,0.0,7,0,19,27,21,1,3,9,6,13,0,0,0,0,0,0,0,0,0,0,0,0,16,0,29,0,0,0,0,0,0,0,0,0,0,0
2022-03-17,22,0 days 00:22:26.772727272,0 days 04:06:35.454545454,0 days 03:46:35.681818181,5.0,1.0,0.0,2,0,9,11,11,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0
2022-03-18,22,0 days 00:32:55.636363636,0 days 05:52:35.863636363,0 days 06:29:37.272727272,4.0,3.0,0.0,5,0,5,12,10,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-03-19,11,0 days 01:04:57,0 days 03:35:38.090909090,0 days 05:43:31.636363636,0.0,1.0,0.0,4,0,3,9,2,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-03-20,31,0 days 01:34:52.516129032,0 days 02:29:45.903225806,0 days 04:01:15.838709677,3.0,3.0,0.0,7,0,12,20,11,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,0,0,0,0
2022-03-21,37,0 days 02:57:38.486486486,0 days 06:28:32.864864864,0 days 06:05:34.675675675,4.0,13.0,0.0,6,0,11,27,10,0,4,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,17,0,0,0,0,0,0,0,0,0,0,0
2022-03-22,36,0 days 00:25:10.083333333,0 days 04:02:59.555555555,0 days 04:38:33.027777777,7.0,4.0,0.0,5,0,18,23,13,0,1,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,0,0,0,0,0,0,0
2022-03-23,35,0 days 00:37:21.257142857,0 days 03:51:24.942857142,0 days 04:41:50.400000,4.0,10.0,0.0,3,0,11,20,15,0,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,0,0,0,0,0,0
2022-03-24,26,0 days 00:17:29.230769230,0 days 02:01:21.807692307,0 days 02:19:20.576923076,6.0,2.0,0.0,5,0,12,17,9,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0
2022-03-25,31,0 days 00:34:43.322580645,0 days 03:51:35.032258064,0 days 03:53:03.870967741,4.0,4.0,0.0,3,0,19,18,13,1,1,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0
2022-03-26,27,0 days 00:12:23.259259259,0 days 03:00:43.592592592,0 days 03:16:37.444444444,3.0,0.0,0.0,2,0,13,13,14,2,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0
