Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CHUBUT,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-FORMOSA,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA PAMPA,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-NEUQUEN,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA CRUZ,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CHUBUT,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_FORMOSA,Provincia_JUJUY,Provincia_LA PAMPA,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_NEUQUEN,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA CRUZ,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN
2022-02-02,135,0 days 00:11:52.444444444,0 days 00:39:19.481481481,0 days 00:53:46.822222222,6.0,4.0,0.0,18,0,12,86,49,8,12,23,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,57,0,0,0,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-02-03,86,0 days 00:09:23.976744186,0 days 00:23:34.488372093,0 days 00:36:23.046511627,7.0,3.0,0.0,14,0,5,58,28,7,4,21,10,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2022-02-04,83,0 days 00:15:21.373493975,0 days 00:39:42.469879518,0 days 00:59:54.204819277,14.0,3.0,0.0,20,0,9,43,40,3,8,18,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-05,69,0 days 00:11:01.304347826,0 days 00:28:11.362318840,0 days 00:42:48.260869565,4.0,0.0,0.0,13,0,15,40,29,3,4,22,13,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-06,59,0 days 00:20:21.203389830,0 days 00:29:01.033898305,0 days 00:57:02.711864406,2.0,0.0,0.0,6,0,10,32,27,5,2,18,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-07,73,0 days 00:09:09.972602739,0 days 00:28:11.972602739,0 days 00:44:33.726027397,5.0,0.0,0.0,13,0,7,36,37,6,5,12,10,8,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,34,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
2022-02-08,70,0 days 00:08:12.657142857,0 days 00:25:48.157142857,0 days 00:41:31.128571428,3.0,4.0,0.0,16,0,8,41,29,2,2,10,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-09,84,0 days 00:06:09.571428571,0 days 00:20:36.476190476,0 days 00:33:40.321428571,1.0,1.0,0.0,11,0,9,48,36,4,4,19,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-10,62,0 days 00:08:38.580645161,0 days 00:14:26.129032258,0 days 00:38:30.048387096,5.0,0.0,0.0,8,0,9,35,27,4,5,16,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-11,65,0 days 00:07:47.200000,0 days 00:17:21.738461538,0 days 00:43:48.307692307,3.0,3.0,0.0,8,0,15,35,30,7,6,12,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
