Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_ENTRE RIOS,Provincia_JUJUY,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN,Color Curso_ROJO,Internó_SI
2022-02-09,38,0 days 00:04:52.947368421,0 days 01:05:35.394736842,0 days 00:37:44.842105263,6.0,2.0,9.0,18,0,2,23,15,0,3,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
2022-02-10,32,0 days 00:06:48.250000,0 days 00:47:15.093750,0 days 00:56:07.406250,15.0,8.0,5.0,13,0,3,20,12,0,6,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2022-02-11,29,0 days 00:13:13.724137931,0 days 01:24:23.206896551,0 days 01:00:36.275862068,3.0,11.0,11.0,16,0,2,15,14,2,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
2022-02-12,35,0 days 00:02:04.228571428,0 days 01:09:07.457142857,0 days 00:34:22.714285714,1.0,2.0,1.0,23,0,0,25,10,1,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8
2022-02-13,22,0 days 00:01:00.181818181,0 days 01:29:16.954545454,0 days 00:32:56.136363636,2.0,2.0,0.0,10,0,1,18,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
2022-02-14,41,0 days 00:03:06.097560975,0 days 00:39:21.097560975,0 days 00:45:30.902439024,4.0,5.0,11.0,19,0,3,28,13,2,0,9,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,7
2022-02-15,25,0 days 00:02:38.080000,0 days 01:31:19.720000,0 days 00:45:18.960000,4.0,8.0,2.0,14,0,1,14,11,0,2,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2
2022-02-16,28,0 days 00:06:02.392857142,0 days 00:43:35.928571428,0 days 00:52:12.035714285,2.0,3.0,3.0,14,0,2,12,16,0,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2022-02-17,29,0 days 00:04:57.379310344,0 days 00:42:01.137931034,0 days 00:49:39.482758620,2.0,4.0,5.0,15,0,2,18,11,0,3,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2022-02-18,34,0 days 00:06:02.970588235,0 days 00:48:38.588235294,0 days 00:56:27.764705882,5.0,6.0,10.0,24,0,0,24,10,0,1,8,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,9
2022-02-19,26,0 days 00:03:07.192307692,0 days 02:11:06.807692307,0 days 00:30:09.115384615,3.0,3.0,0.0,14,0,0,19,7,0,3,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7
2022-02-20,29,0 days 00:01:31.241379310,0 days 00:24:18.586206896,0 days 00:27:43.724137931,2.0,4.0,3.0,10,0,0,21,8,0,0,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
2022-02-21,27,0 days 00:12:41.444444444,0 days 00:52:51.555555555,0 days 01:08:14.925925925,5.0,3.0,7.0,13,0,2,12,15,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
